PC1,PC2,cluster
-0.5221654555673043,0.9115290600474288,0
-0.30324458501661516,-0.9575156797094467,2
-1.248878220915444,-0.0980632727782185,0
-1.1117958141569424,-0.4976287817793658,2
-0.4320892149379518,0.021057907246321124,0
-1.2943961569779574,0.2078902225510932,0
-1.0841004628092592,0.30926888810729936,0
0.015196168491063367,-0.40540246696573456,2
0.02608717955330367,-0.7803692456113545,2
-1.129915982703511,0.2573490501445473,0
-1.038962468622257,-0.3964600133977844,2
-1.08018687412573,0.3383420888965529,0
-0.30252593748217754,0.2369198923174005,0
0.2241624531023717,0.2408787223789411,0
-0.3617864277312295,-0.2186642541583184,0
-0.29638270359396923,-0.6611499582260599,2
-1.172652088952215,-0.22256878003913663,2
0.011414404084497676,-0.1987073584622174,0
-0.22099237311196196,-0.9290336456054008,2
-0.4585913832661709,-0.47244549763369714,2
-1.037821834111044,-0.752262502176032,2
-0.34886114201690205,-1.0743187939118384,2
-0.5421658091200043,-0.9732596460633987,2
-0.5466495550462784,0.7035485123213339,0
-0.6691339082636125,-0.8201710217952867,2
-0.13044045714183689,-0.8936264886149131,2
0.28513244329773046,-0.157320604632009,0
-1.3134922374886864,-0.018931731510504125,0
-0.25262123072367215,-0.8894253375589412,2
-0.587563145045946,-0.7379334243433072,2
-0.17106783849310903,-0.5143165008791631,0
-0.6569168100219804,-0.559848073947269,2
-0.7365915421737108,-0.6039731982837799,2
-0.7624516017174184,0.08124244102566403,0
0.03529945389300798,-0.48469974528096915,2
-0.3286592437095222,-0.6166187551558653,2
-0.8870887611255783,-0.013377004497910829,0
-1.094529292142902,-0.1914053144187922,0
-0.496816898868062,0.11293990052424016,2
-1.2432085945810838,0.3375484644331583,0
-0.4610333520236399,-0.501057776663107,2
-0.8060876988752337,-0.15708856562263782,2
-0.5396081879852805,0.1442371012427123,0
-0.1591255468372183,-0.17190178697029646,0
-0.4194864794759584,0.17517045749620433,3
-1.5774597364257874,-0.37350582170797,2
-0.6264234577879155,-0.612429976592249,2
-1.0598274867269055,-0.49716782267540804,2
-0.049160032769138606,-0.27151202976829514,2
-0.7415831318145434,0.2808441373469738,2
0.24176134349590084,-0.7106926620150879,0
-0.6233000975369893,-0.8780860665488917,2
1.4412961056138789,-0.7414439089891807,1
0.19386522288161467,0.01644254155171212,2
-0.12061732041559342,0.033964049852616064,3
0.9168699832635896,0.0886163052604427,3
-0.8241615998997909,0.11726881881793938,0
